Date,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,TCS,INFY,WIPRO,HCLTECH,TECHM,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,APOLLOHOSP,NIFTY50
09-10-2023,737.9372559,923.4632568,564.1225586,343.0879517,994.6317139,3379.731689,1371.363403,189.7002869,1142.91626,1134.580933,1095.737915,1085.615356,1137.598999,3666.004395,5014.814941,19512.34961
10-10-2023,742.1227417,935.8600464,570.4377441,350.431427,1010.605652,3370.953369,1389.673828,190.7058563,1154.074707,1148.708618,1099.103882,1082.394897,1133.233154,3674.265625,5034.09082,19689.84961
11-10-2023,749.3013306,937.7293701,567.2560425,353.4845886,1017.44458,3353.304443,1388.976685,196.973053,1139.257568,1152.310791,1101.299194,1099.988525,1149.813843,3710.774414,5060.072754,19811.34961
12-10-2023,754.289917,938.8608398,565.0384521,351.9779663,1016.795654,3290.741943,1362.115356,195.0788727,1119.273193,1121.575684,1102.90918,1092.599487,1136.029175,3715.424316,4961.709473,19794
13-10-2023,747.4276123,935.9584351,555.4934692,351.6087952,992.4352417,3317.030273,1330.188721,192.2492676,1148.678345,1117.224976,1117.446777,1078.769653,1145.693115,3695.735596,4985.007813,19751.05078
16-10-2023,744.4345093,936.0568848,555.0113525,349.1643066,1003.167786,3273.556641,1332.977051,191.8517303,1162.169189,1108.33667,1107.690063,1085.269531,1142.406372,3616.435547,4989.379883,19731.75
17-10-2023,750.0800171,938.5165405,555.7826538,353.5145264,1006.412537,3257.765381,1340.691528,192.4129639,1168.114258,1120.499756,1109.153687,1095.345581,1151.334595,3607.927002,4996.433594,19811.5
18-10-2023,739.640686,928.5301514,552.1189575,349.8926697,991.2372437,3239.372314,1338.925415,190.5655365,1161.071289,1110.675659,1125.349731,1121.691528,1187.733765,3602.583984,4945.216309,19671.09961
19-10-2023,737.3045654,920.6591797,550.7209473,346.9093628,989.7896118,3218.324219,1332.512329,184.8829346,1159.150879,1096.68811,1113.739136,1112.494629,1200.194092,3599.170654,4964.888672,19624.69922
20-10-2023,741.125,917.7075806,542.9113159,353.1253967,978.7575073,3254.552979,1326.563721,183.2693787,1162.151611,1095.331543,1114.421997,1100.324341,1177.530273,3516.605713,4945.51416,19542.65039
23-10-2023,732.9730835,914.9527588,533.1252441,347.3683472,962.7335815,3175.948975,1309.276001,179.2003326,1141.883911,1081.531006,1095.152344,1096.896606,1161.440063,3463.821533,4937.56543,19281.75
